date,Bike,Trip Duration,Gender,year,month,day,age,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,Male,Female,Unknown
2015-09-21,227,636.7885,0.2555,2015.0,9.0,21.0,40.0749,7.61,0.0,0.0,0.0,66.0,73.0,59.0,60.0,50.0,17.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,169,58.0,0.0
2015-09-22,481,976.7006,0.2765,2015.0,9.0,22.0,39.8815,6.93,0.0,0.0,0.0,66.5,71.0,62.0,60.0,60.0,14.1,18.1,0.0,0.0,0.0,0.0,0.0,0.0,348,133.0,0.0
2015-09-23,578,858.6592,0.2318,2015.0,9.0,23.0,40.0294,2.91,0.0,0.0,0.0,69.5,80.0,59.0,60.0,60.0,8.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,442,135.0,1.0
2015-09-24,569,629.2759,0.239,2015.0,9.0,24.0,39.645,4.25,0.0,0.0,0.0,71.0,82.0,60.0,60.0,60.0,13.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,433,136.0,0.0
2015-09-25,576,686.816,0.2344,2015.0,9.0,25.0,39.9583,6.26,0.0,0.0,0.0,69.5,76.0,63.0,60.0,50.0,13.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,441,135.0,0.0
2015-09-26,618,1004.0437,0.2718,2015.0,9.0,26.0,39.1472,6.04,0.0,0.0,0.0,66.5,72.0,61.0,60.0,60.0,18.1,25.9,0.0,0.0,0.0,0.0,0.0,0.0,446,170.0,2.0
2015-09-27,520,1431.4962,0.2385,2015.0,9.0,27.0,39.5904,4.92,0.0,0.0,0.0,63.5,71.0,56.0,50.0,60.0,8.9,14.1,0.0,0.0,0.0,0.0,0.0,0.0,396,124.0,0.0
2015-09-28,602,651.1395,0.2492,2015.0,9.0,28.0,39.3821,3.36,0.0,0.0,0.0,71.5,78.0,65.0,180.0,170.0,8.9,15.0,0.0,0.0,0.0,0.0,0.0,1.0,450,151.0,1.0
2015-09-29,611,661.4517,0.2815,2015.0,9.0,29.0,39.1064,2.68,0.11,0.0,0.0,77.5,83.0,72.0,170.0,150.0,10.1,18.1,1.0,0.0,0.0,0.0,0.0,0.0,439,172.0,0.0
2015-09-30,510,663.9725,0.2549,2015.0,9.0,30.0,38.8824,8.28,1.26,0.0,0.0,69.0,79.0,59.0,10.0,20.0,16.1,27.1,1.0,0.0,0.0,0.0,0.0,0.0,380,130.0,0.0
2015-10-01,463,749.3261,0.2505,2015.0,10.0,1.0,39.1944,8.72,0.09,0.0,0.0,60.0,64.0,56.0,30.0,40.0,16.1,23.9,1.0,0.0,0.0,0.0,0.0,0.0,345,117.0,1.0
2015-10-02,162,936.784,0.2284,2015.0,10.0,2.0,39.2901,12.53,1.08,0.0,0.0,52.5,57.0,48.0,60.0,60.0,23.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,125,37.0,0.0
2015-10-03,237,650.9789,0.2068,2015.0,10.0,3.0,40.308,11.41,0.35,0.0,0.0,52.0,55.0,49.0,60.0,50.0,21.0,31.1,1.0,0.0,0.0,0.0,0.0,1.0,188,49.0,0.0
2015-10-04,498,778.4618,0.257,2015.0,10.0,4.0,39.0743,10.74,0.0,0.0,0.0,58.0,63.0,53.0,60.0,80.0,21.0,29.1,0.0,0.0,0.0,0.0,0.0,0.0,366,130.0,2.0
2015-10-05,634,688.8927,0.2697,2015.0,10.0,5.0,39.358,6.26,0.0,0.0,0.0,59.5,67.0,52.0,60.0,50.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,459,173.0,2.0
2015-10-06,733,698.3206,0.2906,2015.0,10.0,6.0,39.6535,1.57,0.0,0.0,0.0,62.5,73.0,52.0,70.0,60.0,8.9,12.1,0.0,0.0,0.0,0.0,0.0,0.0,520,213.0,0.0
2015-10-07,696,739.1178,0.2845,2015.0,10.0,7.0,39.5057,2.91,0.0,0.0,0.0,65.5,73.0,58.0,300.0,290.0,8.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,496,199.0,1.0
2015-10-08,678,590.1195,0.2434,2015.0,10.0,8.0,39.3555,3.36,0.0,0.0,0.0,65.5,72.0,59.0,150.0,160.0,8.9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,509,167.0,2.0
2015-10-09,493,564.3611,0.2272,2015.0,10.0,9.0,39.1237,4.03,0.89,0.0,0.0,69.5,78.0,61.0,290.0,270.0,17.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,381,112.0,0.0
2015-10-10,550,963.0327,0.2309,2015.0,10.0,10.0,39.0345,2.46,0.0,0.0,0.0,57.5,65.0,50.0,300.0,310.0,12.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,419,129.0,2.0
2015-10-11,470,906.7064,0.2298,2015.0,10.0,11.0,39.5106,3.8,0.0,0.0,0.0,61.0,69.0,53.0,260.0,250.0,10.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,350,114.0,6.0
2015-10-12,613,757.9233,0.2659,2015.0,10.0,12.0,38.7814,3.8,0.0,0.0,0.0,66.5,77.0,56.0,160.0,160.0,10.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,442,167.0,4.0
2015-10-13,677,1140.3634,0.2171,2015.0,10.0,13.0,39.3501,3.58,0.01,0.0,0.0,66.5,72.0,61.0,250.0,260.0,10.1,16.1,0.0,0.0,0.0,0.0,0.0,0.0,524,150.0,3.0
