hour,Bike,Trip Duration,distance_km,ELEVATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WEEKDAY
0.0,55,639.0,1.0,43.0,8.0,0.0,0.0,0.0,39.0,46.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1.0,28,583.0,1.0,43.0,8.0,0.0,0.0,0.0,37.0,45.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2.0,14,604.0,1.0,43.0,7.0,0.0,0.0,0.0,39.0,44.0,34.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
3.0,15,255.0,1.0,43.0,7.0,0.0,0.0,0.0,39.0,45.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4.0,21,1815.0,1.0,43.0,7.0,0.0,0.0,0.0,42.0,48.0,35.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,68,478.0,1.0,43.0,8.0,0.0,0.0,0.0,41.0,48.0,34.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
6.0,187,308.0,1.0,43.0,8.0,0.0,0.0,0.0,42.0,50.0,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,455,367.0,1.0,43.0,8.0,0.0,0.0,0.0,42.0,49.0,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8.0,805,374.0,1.0,43.0,8.0,0.0,0.0,0.0,42.0,50.0,35.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
9.0,367,438.0,1.0,43.0,8.0,0.0,0.0,0.0,41.0,48.0,34.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,218,462.0,1.0,43.0,8.0,0.0,0.0,0.0,39.0,45.0,32.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
11.0,174,498.0,1.0,43.0,8.0,0.0,0.0,0.0,36.0,42.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
12.0,206,567.0,1.0,43.0,8.0,0.0,0.0,0.0,38.0,44.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
13.0,204,554.0,1.0,43.0,8.0,0.0,0.0,0.0,38.0,45.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
14.0,183,1412.0,1.0,43.0,8.0,0.0,0.0,0.0,38.0,45.0,32.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,229,719.0,1.0,43.0,8.0,0.0,0.0,0.0,38.0,45.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
16.0,294,612.0,1.0,43.0,8.0,0.0,0.0,0.0,41.0,48.0,34.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
17.0,550,447.0,1.0,43.0,8.0,0.0,0.0,0.0,43.0,50.0,35.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18.0,639,434.0,1.0,43.0,8.0,0.0,0.0,0.0,42.0,50.0,35.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
19.0,424,1324.0,1.0,43.0,8.0,0.0,0.0,0.0,42.0,49.0,34.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
20.0,244,335.0,1.0,43.0,8.0,0.0,0.0,0.0,42.0,49.0,34.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
21.0,203,359.0,1.0,43.0,8.0,0.0,0.0,0.0,42.0,49.0,35.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
22.0,119,415.0,1.0,43.0,8.0,0.0,0.0,0.0,42.0,48.0,35.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
23.0,65,394.0,1.0,43.0,8.0,0.0,0.0,0.0,38.0,45.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
