hour,Bike,Trip Duration,distance_km,ELEVATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WEEKDAY
0.0,768,817.0,1.0,43.0,5.0,0.0,0.0,0.0,58.0,64.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1.0,439,775.0,1.0,43.0,5.0,0.0,0.0,0.0,60.0,67.0,53.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2.0,221,6711.0,1.0,43.0,5.0,0.0,0.0,0.0,60.0,67.0,53.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
3.0,140,1104.0,1.0,43.0,5.0,0.0,0.0,0.0,61.0,68.0,54.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4.0,312,493.0,1.0,43.0,6.0,0.0,0.0,0.0,56.0,63.0,49.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,1032,1950.0,1.0,43.0,5.0,0.0,0.0,0.0,58.0,65.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6.0,3210,423.0,1.0,43.0,5.0,0.0,0.0,0.0,59.0,66.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,6353,550.0,1.0,43.0,5.0,0.0,0.0,0.0,58.0,65.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8.0,11505,769.0,1.0,43.0,5.0,0.0,0.0,0.0,58.0,65.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9.0,6142,609.0,1.0,43.0,5.0,0.0,0.0,0.0,59.0,66.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,3867,731.0,1.0,43.0,5.0,0.0,0.0,0.0,59.0,66.0,52.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
11.0,3862,840.0,1.0,43.0,5.0,0.0,0.0,0.0,59.0,67.0,52.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
12.0,4322,936.0,1.0,43.0,5.0,0.0,0.0,0.0,59.0,67.0,52.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13.0,4381,925.0,1.0,43.0,5.0,0.0,0.0,0.0,59.0,66.0,51.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
14.0,4174,1014.0,1.0,43.0,5.0,0.0,0.0,0.0,59.0,66.0,51.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,4511,966.0,1.0,43.0,5.0,0.0,0.0,0.0,59.0,67.0,52.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
16.0,5384,853.0,1.0,43.0,5.0,0.0,0.0,0.0,59.0,66.0,51.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
17.0,9403,705.0,1.0,43.0,5.0,0.0,0.0,0.0,58.0,66.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18.0,9923,645.0,1.0,43.0,5.0,0.0,0.0,0.0,58.0,66.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
19.0,7339,765.0,2.0,43.0,5.0,0.0,0.0,0.0,59.0,66.0,52.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
20.0,4960,708.0,1.0,43.0,5.0,0.0,0.0,0.0,60.0,68.0,53.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
21.0,3262,573.0,1.0,43.0,5.0,0.0,0.0,0.0,60.0,67.0,53.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
22.0,2317,1603.0,1.0,43.0,5.0,0.0,0.0,0.0,59.0,67.0,52.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
23.0,1279,758.0,1.0,43.0,5.0,0.0,0.0,0.0,59.0,66.0,52.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
